ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt,Freight,TotalSalesAmount,Profit
310,20101229,20110110,20110105,21768,19,6,SO43697,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
346,20101229,20110110,20110105,28389,39,7,SO43698,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
346,20101229,20110110,20110105,25863,100,1,SO43699,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
336,20101229,20110110,20110105,14501,100,4,SO43700,1,413.1463,413.1463,699.0982,55.9279,17.4775,772.5036,285.9519
346,20101229,20110110,20110105,11003,6,9,SO43701,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
311,20101230,20110111,20110106,27645,100,4,SO43702,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
310,20101230,20110111,20110106,16624,6,9,SO43703,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
351,20101230,20110111,20110106,11005,6,9,SO43704,1,1898.0944,1898.0944,3374.99,269.9992,84.3748,3729.364,1476.8955999999998
344,20101230,20110111,20110106,11011,6,9,SO43705,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
312,20101231,20110112,20110107,27621,100,4,SO43706,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
312,20101231,20110112,20110107,27616,100,4,SO43707,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
330,20101231,20110112,20110107,20042,98,10,SO43708,1,413.1463,413.1463,699.0982,55.9279,17.4775,772.5036,285.9519
313,20101231,20110112,20110107,16351,6,9,SO43709,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
314,20101231,20110112,20110107,16517,6,9,SO43710,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
314,20110101,20110113,20110108,27606,100,1,SO43711,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
311,20110101,20110113,20110108,13513,29,8,SO43712,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
310,20110102,20110114,20110109,27601,100,4,SO43713,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
311,20110102,20110114,20110109,13591,98,10,SO43714,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
314,20110102,20110114,20110109,16483,6,9,SO43715,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
311,20110102,20110114,20110109,16529,6,9,SO43716,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
336,20110102,20110114,20110109,25249,6,9,SO43717,1,413.1463,413.1463,699.0982,55.9279,17.4775,772.5036,285.9519
311,20110103,20110115,20110110,27668,100,1,SO43718,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
312,20110103,20110115,20110110,27612,100,4,SO43719,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
311,20110103,20110115,20110110,13264,29,8,SO43720,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
310,20110103,20110115,20110110,13590,98,10,SO43721,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
312,20110104,20110116,20110111,13581,98,10,SO43722,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
332,20110104,20110116,20110111,14520,100,1,SO43723,1,413.1463,413.1463,699.0982,55.9279,17.4775,772.5036,285.9519
311,20110104,20110116,20110111,16520,6,9,SO43724,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
311,20110105,20110117,20110112,13258,29,8,SO43725,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
332,20110105,20110117,20110112,14560,100,4,SO43726,1,413.1463,413.1463,699.0982,55.9279,17.4775,772.5036,285.9519
311,20110105,20110117,20110112,16607,6,9,SO43727,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
313,20110106,20110118,20110113,27666,100,4,SO43728,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
346,20110106,20110118,20110113,11238,98,10,SO43729,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
346,20110106,20110118,20110113,25861,100,4,SO43730,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
314,20110106,20110118,20110113,16629,6,9,SO43731,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
350,20110106,20110118,20110113,11025,6,9,SO43732,1,1898.0944,1898.0944,3374.99,269.9992,84.3748,3729.364,1476.8955999999998
312,20110106,20110118,20110113,27577,100,1,SO43733,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
312,20110107,20110119,20110114,27604,100,1,SO43734,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
310,20110107,20110119,20110114,16522,6,9,SO43735,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
346,20110107,20110119,20110114,11002,6,9,SO43736,1,1912.1544,1912.1544,3399.99,271.9992,84.9998,3756.989,1487.8355999999999
311,20110108,20110120,20110115,13261,29,8,SO43737,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
312,20110108,20110120,20110115,11606,39,7,SO43738,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
310,20110108,20110120,20110115,13563,98,10,SO43739,1,2171.2942,2171.2942,3578.27,286.2616,89.4568,3953.9883999999997,1406.9758000000002
